device.display_name,device.hostname,device.id,device.primary_system_user_id,device.os,device.os_version,device.agent_reporting_status,device.last_contact,device_system_detail.uptime,device.hardware_vendor,device.hardware_model,device.serial_number,device.architecture,device_system_detail.memory,device_disk_summary.primary_free,device_disk_summary.primary_used,device_system_detail.cpu_brand,device_system_detail.cpu
USATP - 0339 MBA,usatestprep-MacBook-Air,68fa3b68d03850da8c4d31c4,,Mac OS X,26.2.25C56,Inactive,2026-01-15T04:08:28Z,557120,Apple Inc.,"Mac14,15",QCYL2GN4P1,arm64,1.7179869184e+10,2.99363807232e+11,1.95020988416e+11,Apple M2,arm64e ARM64E
USATP - 0341 MBA,FVFJ238NQ6LR,64dd04f98b34851d7b0cade8,,Mac OS X,26.1.25B78,Inactive,2026-01-15T09:29:15Z,4.254528e+06,Apple Inc.,"MacBookAir10,1",FVFJ238NQ6LR,arm64,1.7179869184e+10,1.01694644224e+11,1.4341255168e+11,Apple M1,arm64e ARM64E
USATP - 0342,FVFL60801WG7,683a11d3e3f7b2da9d56c39b,682f83d2a58281bbb45051bd,Mac OS X,26.5.25F71,Active,2026-06-22T21:00:12.155Z,1.837516e+06,Apple Inc.,"MacBookAir10,1",FVFL60801WG7,arm64,1.7179869184e+10,1.511216128e+11,9.3985583104e+10,Apple M1,arm64e ARM64E
USATP - 0343 MBA,FVFL608A1WG7,64fb4576761884089f53208c,,Mac OS X,26.2.25C56,Inactive,2026-01-12T06:39:19Z,39955,Apple Inc.,"MacBookAir10,1",FVFL608A1WG7,arm64,1.7179869184e+10,9.1916476416e+10,1.53190719488e+11,Apple M1,arm64e ARM64E
USATP - 0344 MBA,FVFL607K1WG7,65b1346425805d0bdfd0e732,,Mac OS X,26.2.25C56,Inactive,2026-01-30T16:41:12Z,128286,Apple Inc.,"MacBookAir10,1",FVFL607K1WG7,arm64,1.7179869184e+10,6.4246812672e+10,1.80860383232e+11,Apple M1,arm64e ARM64E
USATP - 0345 MBA,FVFL60811WG7,656e176631998d65d25e8699,,Mac OS X,26.1.25B78,Inactive,2026-04-09T16:26:03.56Z,112056,Apple Inc.,"MacBookAir10,1",FVFL60811WG7,arm64,1.7179869184e+10,1.41650313216e+11,1.03456882688e+11,Apple M1,arm64e ARM64E
USATP - 0346 MBA,FVFL71ZK1WG7,6526e60876d74e75ed7f12d4,,Mac OS X,26.1.25B78,Inactive,2026-01-30T19:53:06Z,3.945881e+06,Apple Inc.,"MacBookAir10,1",FVFL71ZK1WG7,arm64,1.7179869184e+10,8.0596877312e+10,1.64510318592e+11,Apple M1,arm64e ARM64E
USATP - 0488,USATP-0488,668b3ac6645d1ebebcf29794,64b830871e840c996b704ed1,Windows,10.0.26200.8246,Inactive,2026-06-11T20:53:12Z,2.94198e+06,Microsoft Corporation,Surface Book 3,048679101957,64-bit,8.589934592e+09,5.6873304064e+10,1.97483966464e+11,Intel(R) Core(TM) i5-1035G7 CPU @ 1.20GHz,x86_64
USATP - 0515,PF5654SW,68c450374ec58c9f5c70d2c8,62276c13f19ceb7ff12d4875,Windows,10.0.26200.8655,Active,2026-06-22T21:00:12.155Z,1462,LENOVO,ThinkPad X1 Carbon Gen 12,PF5654SW,64-bit,3.4359738368e+10,7.74370811904e+11,2.4745076736e+11,Intel(R) Core(TM) Ultra 7 165U,x86_64
USATP - 0516,H6K44D57RK,690aa09a4b7ea035ada2d4bd,5fd382446c0e6f0e93204cd2,Mac OS X,27.0.26A5353q,Active,2026-06-22T21:00:12.155Z,457648,Apple Inc.,"Mac17,2",H6K44D57RK,arm64,1.7179869184e+10,9.642489856e+10,3.97907468288e+11,Apple M5,arm64e ARM64E
USATP - 0517,usatestprep-MacBook-Pro,6916177f75e6ed1564a58773,642b351e3ce587f6c570d23b,Mac OS X,26.5.1.25F80,Active,2026-06-22T21:00:12.155Z,1.577328e+06,Apple Inc.,"Mac17,2",CF72XTWQ7Y,arm64,1.7179869184e+10,3.5234480128e+11,1.41987565568e+11,Apple M5,arm64e ARM64E
USATP - 0518 MBA,usatestprep-MacBook-Air,6914c371852dd49b8d4cc005,6504c259387800d664b057ea,Mac OS X,26.4.25E246,Active,2026-06-22T21:00:12.155Z,7.507241e+06,Apple Inc.,"Mac16,13",F9K91PVF0Q,arm64,1.7179869184e+10,2.6826416128e+10,2.18280779776e+11,Apple M4,arm64e ARM64E
USATP - 0519 MBA,D9T73TCF23,6925e8b3af8cee83bb3b9ffa,612a8a1fcb6b251502d03d04,Mac OS X,26.5.25F71,Active,2026-06-22T21:00:12.155Z,1.840348e+06,Apple Inc.,"Mac16,12",D9T73TCF23,arm64,1.7179869184e+10,1.32817637376e+11,1.12289558528e+11,Apple M4,arm64e ARM64E
USATP - 0520 MBA,DR6L6JPVGD,6924f1c7b61b628c57e8ff4a,6393565df10cce40d470d0a6,Mac OS X,26.5.25F71,Inactive,2026-06-20T15:19:54Z,711094,Apple Inc.,"Mac16,12",DR6L6JPVGD,arm64,1.7179869184e+10,1.29092186112e+11,1.16015009792e+11,Apple M4,arm64e ARM64E
USATP - 0521 MBA,FGFKGK39TL,6925f9820e7addd78b12637c,633b0a5e5346bd453e789ae7,Mac OS X,26.5.25F71,Active,2026-06-22T21:00:12.155Z,1.022882e+06,Apple Inc.,"Mac16,12",FGFKGK39TL,arm64,1.7179869184e+10,1.59771574272e+11,8.5335621632e+10,Apple M4,arm64e ARM64E
USATP - 0522 MBA,FGYX7DC77C,692607858a0aea1fdc443881,60f976eed1b7ed17f4710da0,Mac OS X,26.4.1.25E253,Active,2026-06-22T21:00:12.155Z,2.880546e+06,Apple Inc.,"Mac16,12",FGYX7DC77C,arm64,1.7179869184e+10,1.2481357824e+11,1.20293617664e+11,Apple M4,arm64e ARM64E
USATP - 0523 MBA,FPC4904XNN,692600975c96d7457cf5e0cc,677857f6e82877c9dd643499,Mac OS X,26.5.1.25F80,Inactive,2026-06-22T20:42:22.34Z,17618,Apple Inc.,"Mac16,12",FPC4904XNN,arm64,1.7179869184e+10,1.19918452736e+11,1.25188743168e+11,Apple M4,arm64e ARM64E
USATP - 0524 MBA,FY0WTCXQ52,6925f21f3e38e796308e1fd2,683dd5a908b3d7a695d65eb1,Mac OS X,26.5.25F71,Active,2026-06-22T21:00:12.155Z,618581,Apple Inc.,"Mac16,12",FY0WTCXQ52,arm64,1.7179869184e+10,1.43258882048e+11,1.01848313856e+11,Apple M4,arm64e ARM64E
USATP - 0525 MBA,GVKFW2KHYY,6925e4967c3ee05942c889f9,6138e3a8df65ae491808a3b5,Mac OS X,26.4.1.25E253,Active,2026-06-22T21:00:12.155Z,29914,Apple Inc.,"Mac16,12",GVKFW2KHYY,arm64,1.7179869184e+10,1.38387587072e+11,1.06719608832e+11,Apple M4,arm64e ARM64E
USATP - 0526 MBA,HLW0RVWL65,6925ec39c26db62cf34cd0f8,6132472fa7ebbf66d73f41d7,Mac OS X,26.5.25F71,Active,2026-06-22T21:00:12.155Z,29263,Apple Inc.,"Mac16,12",HLW0RVWL65,arm64,1.7179869184e+10,9.7859014656e+10,1.47248181248e+11,Apple M4,arm64e ARM64E
USATP - 0527 MBA,HVVNJ9V0HM,69261771a98deffefdedd741,67d20a933e5209d3f6fce988,Mac OS X,26.5.1.25F80,Active,2026-06-22T21:00:12.155Z,27191,Apple Inc.,"Mac16,12",HVVNJ9V0HM,arm64,1.7179869184e+10,1.56106952704e+11,8.90002432e+10,Apple M4,arm64e ARM64E
USATP - 0528 MBA,JN2K3Y6M4Y,6924eef8d0dec0abd5e45b84,64b830871e840c996b704ed1,Mac OS X,26.4.1.25E253,Inactive,2026-05-28T22:27:52.834Z,579702,Apple Inc.,"Mac16,12",JN2K3Y6M4Y,arm64,1.7179869184e+10,2.01145679872e+11,4.3961516032e+10,Apple M4,arm64e ARM64E
USATP - 0529 MBA,KQPGWRDY35,6925f4b78263b111a1c4893c,66edd700989caba5cb24a75d,Mac OS X,26.4.1.25E253,Active,2026-06-22T21:00:12.155Z,107991,Apple Inc.,"Mac16,12",KQPGWRDY35,arm64,1.7179869184e+10,1.42992904192e+11,1.02114291712e+11,Apple M4,arm64e ARM64E
USATP - 0530 MBA,L1QL2Q9H4L,6925def0b289c4c44e4e822b,66313f154b6b37128334cce3,Mac OS X,26.4.1.25E253,Inactive,2026-06-03T12:13:04.02Z,2.887449e+06,Apple Inc.,"Mac16,12",L1QL2Q9H4L,arm64,1.7179869184e+10,1.59163592704e+11,8.59436032e+10,Apple M4,arm64e ARM64E
USATP - 0531 MBA,LP4QWR6GW3,69260422b3e16ad3f117a14d,67523106c92e7f94165cf9b2,Mac OS X,26.4.1.25E253,Inactive,2026-06-22T19:49:20Z,2.135151e+06,Apple Inc.,"Mac16,12",LP4QWR6GW3,arm64,1.7179869184e+10,1.3254313984e+11,1.12564056064e+11,Apple M4,arm64e ARM64E
